항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승무원승선수,승무원하선수,승객승선수,승객하선수,승객,예선,도선,부선호출부호1,부선호출부호2
부산,UHCI,GALMAEGI,2023,001,최종,외항,출항,662,2023-09-26 11:17,2024-04-24 15:40,2024-04-24 15:10,2024-04-25 09:09,기타,24HSTI0421E,MK5,01,감천 5부두 1선석,OCEAN DISTRICT,NEVELSK,원양 어선,,18,17,19,,,,Y,Y,,
부산,196206,지오뷰1호,2023,007,최종,내항,출항,121,2023-09-27 15:30,2024-03-31 05:55,,2024-07-29 16:10,기타,,MK4,05,감천 4부두 5선석,기타항,기타항,기타선,1,3,0,0,0,0,0,N,N,,
부산,D7XA,인바이로스 서베이어,2023,005,최종,내항,출항,293,2023-10-01 09:45,2024-06-14 08:20,2024-06-14 08:00,2024-06-19 15:20,기타,,*LP,01,대평동호안,기타항,기타항,기타 예선,5,1,,,,,1,N,N,,
부산,835523,동진1호,2023,005,최종,내항,출항,74,2023-10-04 11:50,2024-02-03 13:30,,2025-07-31 08:12,기타,,MYP,01,부산조선안벽,기타항,기타항,견인용예선,1,1,0,0,0,0,0,N,N,,
부산,UBKF4,ANTEY,2023,001,최종,외항,출항,886,2023-10-11 07:38,2024-01-17 11:00,2024-01-17 10:00,2024-01-18 10:13,기타,24GSSBM989E,MK7,01,감천 7부두 1선석,VLADIVOSTOK,VLADIVOSTOK,원양 어선,,36,6,3,,,,Y,Y,,
부산,UBNZ8,ALEKSANDR SHALIN,2023,003,최종,외항,출항,978,2023-10-13 09:00,2024-01-07 20:00,2024-01-07 19:00,2024-01-16 09:14,기타,24KTIAM202E,MK5,02,감천 5부두 2선석,OKHOTSK,부산,원양 어선,,15,,,,,,Y,Y,,
부산,UBSV7,PROVIDENCEⅡ,2023,003,최종,외항,출항,98,2023-10-13 15:50,2024-03-28 06:29,2024-03-28 05:00,2024-03-28 16:20,기타,24ERAEH06EE,MQP,01,아틀라스안벽,부산,OKHOTSK,원양 어선,,3,,,,,,N,N,,
부산,UHVI,ADONIS,2023,003,최종,외항,출항,654,2023-10-14 08:00,2024-04-29 08:00,2024-04-29 07:00,2024-04-29 12:55,기타,24JPLKDD22E,WAN,01,남외항 N-1박지,OCEAN DISTRICT,OKHOTSK,원양 어선,,11,11,8,,,,N,N,,
부산,D8ZR,제106삼양,2023,020,최종,내항,출항,24,2023-10-14 10:10,2024-01-10 07:00,,2024-11-04 10:05,기타,,MK5,05,삼경안벽(동하조선),기타항,기타항,견인용예선,2,0,0,0,0,0,0,N,N,,
부산,UEKT,SVETLYI,2023,003,최종,외항,출항,662,2023-10-14 10:55,2024-04-09 07:00,2024-04-09 06:00,2024-04-09 12:23,기타,24JPLKDD44E,MK1,01,감천 1부두 1선석,OCEAN DISTRICT,SLAVYANKA,원양 어선,,12,12,12,,,,Y,Y,,
